name,category,expected_min,expected_max,coverage,score,matched_name,club,competition,transfermarkt_id,market_value_eur
Alisson,champions_league_star,93,95,exact,1.00,Alisson Ramses Becker,Liverpool FC,GB1,105470,15000000
Gianluigi Donnarumma,champions_league_star,91,94,exact,1.00,Gianluigi Donnarumma,Manchester City,GB1,315858,45000000
William Saliba,champions_league_star,93,95,exact,1.00,William Saliba,Arsenal FC,GB1,495666,100000000
Ruben Dias,champions_league_star,93,95,exact,1.00,Rúben Dias,Manchester City,GB1,258004,55000000
Achraf Hakimi,champions_league_star,92,94,exact,1.00,Achraf Hakimi,Paris Saint-Germain,FR1,398073,80000000
Federico Valverde,champions_league_star,93,95,exact,1.00,Federico Valverde,Real Madrid,ES1,369081,90000000
Declan Rice,champions_league_star,92,94,exact,1.00,Declan Rice,Arsenal FC,GB1,357662,120000000
Martin Odegaard,champions_league_star,92,94,exact,1.00,Martin Ødegaard,Arsenal FC,GB1,316264,65000000
Pedri,champions_league_star,92,94,exact,1.00,Pedro González López,FC Barcelona,ES1,683840,150000000
Rafael Leao,champions_league_star,91,94,exact,1.00,Rafael Leão,AC Milan,IT1,357164,50000000
Lautaro Martinez,champions_league_star,92,95,exact,1.00,Lautaro Martínez,Inter Milan,IT1,406625,85000000
Victor Osimhen,champions_league_star,91,94,exact,1.00,Victor Osimhen,Galatasaray,TR1,401923,75000000
Khvicha Kvaratskhelia,champions_league_star,92,95,exact,1.00,Khvicha Kvaratskhelia,Paris Saint-Germain,FR1,502670,140000000
Ousmane Dembele,champions_league_star,91,94,exact,1.00,Ousmane Dembélé,Paris Saint-Germain,FR1,288230,100000000
Bruno Fernandes,europa_league_star,92,94,exact,1.00,Bruno Fernandes,Manchester United,GB1,240306,35000000
Casemiro,europa_league_star,90,92,exact,1.00,Carlos Henrique Casimiro,Without Club,,16306,6000000
Mason Mount,europa_league_star,89,92,exact,1.00,Mason Mount,Manchester United,GB1,346483,25000000
Paulo Dybala,europa_league_star,90,93,exact,1.00,Paulo Dybala,Without Club,,206050,5000000
Romelu Lukaku,europa_league_star,89,92,exact,1.00,Romelu Lukaku,SSC Napoli,IT1,96341,6000000
Granit Xhaka,europa_league_star,90,92,exact,1.00,Granit Xhaka,Sunderland AFC,GB1,111455,8000000
Alejandro Grimaldo,europa_league_star,90,93,exact,1.00,Alejandro Grimaldo,Atlético de Madrid,ES1,193082,20000000
Nico Williams,europa_league_star,90,93,exact,1.00,Nico Williams,Athletic Bilbao,ES1,709187,40000000
Dominik Szoboszlai,europa_league_star,90,93,exact,1.00,Dominik Szoboszlai,Liverpool FC,GB1,451276,100000000
Jeremie Frimpong,europa_league_star,90,93,exact,1.00,Jeremie Frimpong,Liverpool FC,GB1,484547,35000000
Morgan Gibbs-White,mid_table_premier_league,88,91,exact,1.00,Morgan Gibbs-White,Nottingham Forest,GB1,429014,70000000
Jarrod Bowen,mid_table_premier_league,89,91,exact,1.00,Jarrod Bowen,West Ham United,GB2,314875,30000000
Eberechi Eze,mid_table_premier_league,89,92,exact,1.00,Eberechi Eze,Arsenal FC,GB1,479999,65000000
Marc Guehi,mid_table_premier_league,88,91,exact,1.00,Marc Guéhi,Manchester City,GB1,392757,70000000
Joao Pedro,mid_table_premier_league,88,91,exact,1.00,João Pedro Junqueira de Jesus,Chelsea FC,GB1,626724,80000000
Kaoru Mitoma,mid_table_premier_league,89,91,exact,1.00,Kaoru Mitoma,Brighton & Hove Albion,GB1,504849,22000000
Antoine Semenyo,mid_table_premier_league,87,90,exact,1.00,Antoine Semenyo,Manchester City,GB1,583255,80000000
Milos Kerkez,mid_table_premier_league,87,90,exact,1.00,Milos Kerkez,Liverpool FC,GB1,730861,35000000
Jean-Ricner Bellegarde,mid_table_premier_league,86,88,exact,1.00,Jean-Ricner Bellegarde,Wolverhampton Wanderers,GB2,450050,16000000
Murillo,mid_table_premier_league,87,90,exact,1.00,Murillo Santiago Costa dos Santos,Nottingham Forest,GB1,1005649,50000000
Dominic Solanke,mid_table_premier_league,88,91,exact,1.00,Dominic Solanke,Tottenham Hotspur,GB1,258889,28000000
James Maddison,mid_table_premier_league,89,92,exact,1.00,James Maddison,Tottenham Hotspur,GB1,294057,20000000
Serhou Guirassy,big_five_regular,89,92,exact,1.00,Serhou Guirassy,Borussia Dortmund,L1,270541,32000000
Jonathan Tah,big_five_regular,90,92,exact,1.00,Jonathan Tah,Bayern Munich,L1,196357,28000000
Benjamin Sesko,big_five_regular,88,91,exact,1.00,Benjamin Sesko,Manchester United,GB1,627442,75000000
Xavi Simons,big_five_regular,90,93,exact,1.00,Xavi Simons,Tottenham Hotspur,GB1,566931,40000000
Lois Openda,big_five_regular,89,92,exact,1.00,Loïs Openda,Juventus FC,IT1,368887,25000000
Mike Maignan,big_five_regular,91,94,exact,1.00,Mike Maignan,AC Milan,IT1,182906,20000000
Alessandro Bastoni,big_five_regular,92,94,exact,1.00,Alessandro Bastoni,Inter Milan,IT1,315853,65000000
Nicolo Barella,big_five_regular,91,94,exact,1.00,Nicolò Barella,Inter Milan,IT1,255942,50000000
Federico Chiesa,big_five_regular,88,91,exact,1.00,Federico Chiesa,Liverpool FC,GB1,341092,13000000
Dusan Vlahovic,big_five_regular,90,92,exact,1.00,Dušan Vlahović,Without Club,,357498,35000000
Antoine Griezmann,big_five_regular,91,94,exact,1.00,Antoine Griezmann,Atlético de Madrid,ES1,125781,8000000
Mikel Oyarzabal,big_five_regular,89,91,exact,1.00,Mikel Oyarzabal,Real Sociedad,ES1,351478,25000000
Takefusa Kubo,big_five_regular,88,91,exact,1.00,Takefusa Kubo,Real Sociedad,ES1,405398,20000000
Aurelien Tchouameni,big_five_regular,91,94,exact,1.00,Aurélien Tchouaméni,Real Madrid,ES1,413112,70000000
Eduardo Camavinga,big_five_regular,90,93,exact,1.00,Eduardo Camavinga,Real Madrid,ES1,640428,50000000
Warren Zaire-Emery,big_five_regular,89,92,exact,1.00,Warren Zaïre-Emery,Paris Saint-Germain,FR1,810092,80000000
Sergio Busquets,mls_saudi_star,88,91,missing,0.50,Sergio Gómez,Real Sociedad,ES1,366930,15000000
Luis Suarez,mls_saudi_star,88,91,exact,1.00,Luis Suárez,Inter Miami CF,MLS1,44352,1500000
Jordi Alba,mls_saudi_star,87,90,missing,0.50,Jordi Liongola,Sheffield Wednesday,GB3,627329,1500000
Karim Benzema,mls_saudi_star,90,93,exact,1.00,Karim Benzema,Al-Hilal SFC,SA1,18922,5000000
Neymar,mls_saudi_star,90,94,missing,0.00,Lamine Yamal Nasraoui Ebana,FC Barcelona,ES1,937958,200000000
Sadio Mane,mls_saudi_star,89,92,exact,1.00,Sadio Mané,Al-Nassr FC,SA1,200512,6000000
Riyad Mahrez,mls_saudi_star,89,92,exact,1.00,Riyad Mahrez,Without Club,,171424,5000000
Aleksandar Mitrovic,mls_saudi_star,88,91,missing,0.50,Aleksandar Pavlovic,Bayern Munich,L1,792380,90000000
Illan Meslier,championship_level,85,88,exact,1.00,Illan Meslier,Without Club,,542586,8000000
Crysencio Summerville,championship_level,86,89,exact,1.00,Crysencio Summerville,West Ham United,GB2,474701,35000000
Kiernan Dewsbury-Hall,championship_level,86,89,exact,1.00,Kiernan Dewsbury-Hall,Everton FC,GB1,475188,35000000
Callum O'Hare,championship_level,84,87,exact,1.00,Callum O'Hare,Sheffield United,GB2,371262,5000000
Viktor Gyokeres,championship_level,91,94,exact,1.00,Viktor Gyökeres,Arsenal FC,GB1,325443,65000000
Gustavo Hamer,championship_level,84,87,exact,1.00,Gustavo Hamer,Sheffield United,GB2,322985,14000000
Leny Yoro,wonderkid,89,92,exact,1.00,Leny Yoro,Manchester United,GB1,923831,50000000
Jorrel Hato,wonderkid,88,91,exact,1.00,Jorrel Hato,Chelsea FC,GB1,904802,40000000
Endrick,wonderkid,88,91,exact,1.00,Endrick Felipe Moreira de Sousa,Real Madrid,ES1,971570,40000000
Pau Cubarsi,wonderkid,88,91,exact,1.00,Pau Cubarsí,FC Barcelona,ES1,962110,80000000
Kobbie Mainoo,wonderkid,88,91,exact,1.00,Kobbie Mainoo,Manchester United,GB1,820374,70000000
Arda Guler,wonderkid,88,91,exact,1.00,Arda Güler,Real Madrid,ES1,861410,90000000
Ethan Nwaneri,wonderkid,84,88,exact,1.00,Ethan Nwaneri,Arsenal FC,GB1,890719,35000000
Franco Mastantuono,wonderkid,84,88,exact,1.00,Franco Mastantuono,Real Madrid,ES1,1057316,45000000
Emiliano Martinez,veteran_goalkeeper,90,93,exact,1.00,Emiliano Martínez,Aston Villa,GB1,111873,12000000
Yann Sommer,veteran_goalkeeper,89,92,missing,0.50,Yann Bisseck,Inter Milan,IT1,441986,50000000
Jan Oblak,veteran_goalkeeper,91,94,exact,1.00,Jan Oblak,Atlético de Madrid,ES1,121483,15000000
Marc-Andre ter Stegen,veteran_goalkeeper,91,94,exact,1.00,Marc-André ter Stegen,FC Barcelona,ES1,74857,3000000
Ederson,veteran_goalkeeper,92,94,exact,1.00,Éderson José dos Santos Lourenço da Silva,Atalanta BC,IT1,607854,45000000
