tbgPlayerId,transfermarktId,soccerwikiId,playerName,transfermarktName,clubName,currentCompetitionCode,position,positionGroup,age,marketValueEur,highestMarketValueEur,previousMarketValueEur,internationalCaps,internationalGoals,totalTransferFeesEur,smwRating,smwEquivalentRaw,smwEquivalentRating,abilityComponent,prestigeComponent,trajectoryComponent,tbgV2Adjustment,tbgV2AdjustmentReasons,tbgRatingRaw,tbgRating,tbgRatingBand,tbgDeltaRounded
tbg-tm-00139208,139208,,Virgil van Dijk,Virgil van Dijk,Liverpool FC,GB1,Centre-Back,DEF,34,15000000,100000000,18000000,96,13,103100000,94,92.98,93,-0.15,0.6,0,0.45,"-0.15: large fall from peak current-ability caution | +0.3: historic elite-market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard | +0.15: late-career elite class inertia | -0.45: diminishing-returns prestige taper",93.43,93,elite,-1
tbg-tm-00495666,495666,,William Saliba,William Saliba,Arsenal FC,GB1,Centre-Back,DEF,25,100000000,100000000,90000000,35,0,30000000,94,92.52,93,0,0.4,0.2,0.6,+0.3: historic elite-market prestige | +0.1: established international experience | +0.2: elite current market signal,93.12,93,elite,-1
tbg-tm-00105470,105470,,Becker Alisson,Alisson Ramses Becker,Liverpool FC,GB1,Goalkeeper,GK,33,15000000,90000000,17000000,82,0,80500000,93,92.5,93,-0.05,0.6,0,0.55,"-0.15: large fall from peak current-ability caution | +0.1: goalkeeper longevity stability | +0.18: historic high-level market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard | -0.18: diminishing-returns prestige taper",93.05,93,elite,0
tbg-tm-00315858,315858,,Gianluigi Donnarumma,Gianluigi Donnarumma,Manchester City,GB1,Goalkeeper,GK,27,45000000,65000000,45000000,83,0,30250000,93,91.95,92,0.1,0.2,0,0.3,+0.1: goalkeeper longevity stability | +0.2: major international experience,92.25,92,elite,-1
tbg-tm-00583255,583255,,Antoine Semenyo,Antoine Semenyo,Manchester City,GB1,Right Winger,ATT,26,80000000,80000000,75000000,38,3,82250000,92,91.77,92,0,0.43,0,0.43,+0.18: historic high-level market prestige | +0.1: established international experience | +0.15: major lifetime transfer-fee signal,92.2,92,elite,0
tbg-tm-00479999,479999,,Eberechi Eze,Eberechi Eze,Arsenal FC,GB1,Attacking Midfield,MID,28,65000000,65000000,60000000,20,3,87100000,91,91.82,92,0,0.15,0,0.15,+0.15: major lifetime transfer-fee signal,91.97,92,elite,1
tbg-tm-00016306,16306,,Carlos Casemiro,Carlos Henrique Casimiro,Without Club,,Defensive Midfield,DEF,34,6000000,80000000,8000000,90,10,99750000,90,90.89,91,-0.15,0.78,0,0.63,"-0.15: large fall from peak current-ability caution | +0.18: historic high-level market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard",91.52,92,elite,2
tbg-tm-00429014,429014,,Morgan Gibbs-White,Morgan Gibbs-White,Nottingham Forest,GB1,Attacking Midfield,MID,26,70000000,70000000,60000000,0,0,29500000,90,91.14,91,0,0.18,0,0.18,+0.18: historic high-level market prestige,91.32,91,elite,1
tbg-tm-00111455,111455,,Granit Xhaka,Granit Xhaka,Sunderland AFC,GB1,Defensive Midfield,DEF,33,8000000,50000000,10000000,150,18,83500000,,90.74,91,-0.15,0.7,0,0.55,"-0.15: large fall from peak current-ability caution | +0.3: centurion international prestige | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard",91.29,91,elite,
tbg-tm-00354362,354362,,Rodrigo Bentancur,Rodrigo Bentancur,Tottenham Hotspur,GB1,Defensive Midfield,DEF,29,20000000,50000000,22000000,76,3,42500000,,90.46,90,0,0.2,0,0.2,+0.2: major international experience,90.66,91,elite,
tbg-tm-00627442,627442,,Benjamin Sesko,Benjamin Sesko,Manchester United,GB1,Centre-Forward,ATT,23,75000000,75000000,65000000,0,0,110650000,,90.07,90,0,0.33,0.15,0.48,+0.18: historic high-level market prestige | +0.15: major lifetime transfer-fee signal | +0.15: early-prime high-ceiling trajectory,90.55,91,elite,
tbg-tm-00346483,346483,,Mason Mount,Mason Mount,Manchester United,GB1,Attacking Midfield,MID,27,25000000,75000000,30000000,0,0,67700000,89,90.35,90,0,0.18,0,0.18,+0.18: historic high-level market prestige,90.53,91,elite,2
tbg-tm-00566931,566931,,Xavi Simons,Xavi Simons,Tottenham Hotspur,GB1,Attacking Midfield,MID,23,40000000,80000000,50000000,0,0,119000000,,90.18,90,0,0.33,0,0.33,+0.18: historic high-level market prestige | +0.15: major lifetime transfer-fee signal,90.51,91,elite,
tbg-tm-00294057,294057,,James Maddison,James Maddison,Tottenham Hotspur,GB1,Attacking Midfield,MID,29,20000000,70000000,25000000,0,0,73950000,,90.32,90,0,0.18,0,0.18,+0.18: historic high-level market prestige,90.5,90,top_tier,
tbg-tm-01005649,1005649,,Murillo Santiago Costa dos Santos,Murillo Santiago Costa dos Santos,Nottingham Forest,GB1,Centre-Back,DEF,24,50000000,55000000,50000000,0,0,12000000,,90.18,90,0,0,0,0,,90.18,90,top_tier,
tbg-tm-00258889,258889,,Dominic Solanke,Dominic Solanke,Tottenham Hotspur,GB1,Centre-Forward,ATT,28,28000000,45000000,35000000,0,0,85500000,90,89.93,90,0,0.15,0,0.15,+0.15: major lifetime transfer-fee signal,90.08,90,top_tier,0
tbg-tm-00739443,739443,,Igor Thiago,Igor Thiago Nascimento Rodrigues,Brentford FC,GB1,Centre-Forward,ATT,25,65000000,65000000,50000000,5,2,45320000,88,90.07,90,0,0,0,0,,90.07,90,top_tier,2
tbg-tm-00820374,820374,,Kobbie Mainoo,Kobbie Mainoo,Manchester United,GB1,Central Midfield,MID,21,70000000,70000000,50000000,14,0,0,90,89.48,89,0,0.18,0.3,0.48,+0.18: historic high-level market prestige | +0.3: young elite-trajectory adjustment,89.96,90,top_tier,0
tbg-tm-00504849,504849,,Kaoru Mitoma,Kaoru Mitoma,Brighton & Hove Albion,GB1,Left Winger,ATT,29,22000000,50000000,25000000,0,0,3000000,90,89.84,90,0,0,0,0,,89.84,90,top_tier,0
tbg-tm-00923831,923831,,Leny Yoro,Leny Yoro,Manchester United,GB1,Centre-Back,DEF,20,50000000,55000000,50000000,10,0,62000000,88,89.16,89,0,0,0.45,0.45,+0.45: teenage elite-trajectory adjustment,89.61,90,top_tier,2
tbg-tm-00475188,475188,,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,Everton FC,GB1,Central Midfield,MID,27,35000000,35000000,32000000,0,0,64050000,89,89.6,90,0,0,0,0,,89.6,90,top_tier,1
tbg-tm-00484547,484547,,Jeremie Frimpong,Jeremie Frimpong,Liverpool FC,GB1,Right-Back,DEF,25,35000000,50000000,35000000,0,0,51380000,91,89.49,89,0,0,0,0,,89.49,89,top_tier,-2
tbg-tm-00730861,730861,,Milos Kerkez,Milos Kerkez,Liverpool FC,GB1,Left-Back,DEF,22,35000000,45000000,40000000,32,0,70270000,,89.03,89,0,0.1,0,0.1,+0.1: established international experience,89.13,89,top_tier,
tbg-tm-00890719,890719,,Ethan Nwaneri,Ethan Nwaneri,Arsenal FC,GB1,Attacking Midfield,MID,19,35000000,55000000,40000000,15,5,1500000,,88.45,88,0,0,0.45,0.45,+0.45: teenage elite-trajectory adjustment,88.9,89,top_tier,
tbg-tm-00341092,341092,,Federico Chiesa,Federico Chiesa,Liverpool FC,GB1,Right Winger,ATT,28,13000000,70000000,15000000,0,0,69200000,,88.7,89,0,0.18,0,0.18,+0.18: historic high-level market prestige,88.88,89,top_tier,
tbg-tm-00904802,904802,,Jorrel Hato,Jorrel Hato,Chelsea FC,GB1,Left-Back,DEF,20,40000000,40000000,35000000,9,0,44180000,88,88.08,88,0,0,0.45,0.45,+0.45: teenage elite-trajectory adjustment,88.53,89,top_tier,1
tbg-tm-00735571,735571,,Rodrigo Muniz Carvalho,Rodrigo Muniz Carvalho,Fulham FC,GB1,Centre-Forward,ATT,25,20000000,25000000,25000000,0,0,8000000,,87.79,88,0,0,0,0,,87.79,88,first_team,
tbg-tm-00673492,673492,,Felipe Morato,Felipe Rodrigues da Silva,Nottingham Forest,GB1,Centre-Back,DEF,25,14000000,15000000,14000000,0,0,18600000,87,86.88,87,0,0,0,0,,86.88,87,first_team,0
tbg-tm-00542586,542586,,Illan Meslier,Illan Meslier,Without Club,,Goalkeeper,GK,26,8000000,22000000,10000000,0,0,6500000,,86.67,87,0.1,0,0,0.1,+0.1: goalkeeper longevity stability,86.77,87,first_team,
tbg-tm-00984544,984544,,Rodrigo Rêgo,Rodrigo Rêgo,Brighton & Hove Albion,GB1,Right Winger,ATT,21,1500000,1500000,900000,2,0,3500000,,82.39,82,0,0,0,0,,82.39,82,development,
tbg-tm-00704398,704398,,Raphael Borges Rodrigues,Raphael Borges Rodrigues,Coventry City,GB1,Left Winger,ATT,22,450000,450000,400000,0,0,0,,82.26,82,0,0,0,0,,82.26,82,development,
