name,club,smwRating,position,age,soccerwikiUrl
Ryan Christie,AFC Bournemouth,88,AFC Bournemouth,31,/player.php?pid=72725
Ryan Sessegnon,Fulham,88,Fulham,26,/player.php?pid=87570
Saša Lukić,Fulham,88,Fulham,29,/player.php?pid=69249
Sean Longstaff,Leeds United,88,"DM,M,AM(C)",28,/player.php?pid=91623
Simon Adingra,Sunderland,88,Simon Adingra,24,/player.php?pid=111928
Stefan Ortega,Nottingham Forest,88,Nottingham Forest,33,/player.php?pid=53112
Thierno Barry,Everton,88,"AM,F(C)",23,/player.php?pid=128716
Timothy Castagne,Fulham,88,Fulham,30,/player.php?pid=75764
Tosin Adarabioyo,Chelsea,88,Tosin Adarabioyo,28,/player.php?pid=84537
Trai Hume,Sunderland,88,"D(RLC),DM,M(RL)",24,/player.php?pid=111609
Victor Lindelöf,Aston Villa,88,Aston Villa,31,/player.php?pid=51527
Vitaly Janelt,Brentford,88,"D(L),DM,M(LC)",28,/player.php?pid=93390
Vitor Rayan,AFC Bournemouth,88,AFC Bournemouth,19,/player.php?pid=135556
Wataru Endo,Liverpool,88,"D,DM,M(C)",33,/player.php?pid=46883
Wesley Fofana,Chelsea,88,Wesley Fofana,25,/player.php?pid=103706
Yasin Ayari,Brighton & Hove Albion,88,Yasin Ayari,22,/player.php?pid=115695
Yehor Yarmolyuk,Brentford,88,"M,AM(C)",22,/player.php?pid=107357
Yves Bissouma,Tottenham Hotspur,88,"DM,M(C)",29,/player.php?pid=88886
Ben Davies,Tottenham Hotspur,87,Ben Davies,33,/player.php?pid=59234
Brajan Gruda,Brighton & Hove Albion,87,Brighton & Hove Albion,22,/player.php?pid=129663
Cheick Doucouré,Crystal Palace,87,Cheick Doucouré,26,/player.php?pid=98429
Felipe Morato,Nottingham Forest,87,Felipe Morato,25,/player.php?pid=102392
Filip Jorgensen,Chelsea,87,Filip Jorgensen,24,/player.php?pid=126054
Jack Harrison,Leeds United,87,"AM(RLC),F(RL)",29,/player.php?pid=85676
Joe Rodon,Leeds United,87,D(C),28,/player.php?pid=86875
Joël Veltman,Brighton & Hove Albion,87,Brighton & Hove Albion,34,/player.php?pid=59005
Lucas Perri,Leeds United,87,,28,/player.php?pid=82286
Mamadou Sarr,Chelsea,87,Mamadou Sarr,20,/player.php?pid=128217
Marco Bizot,Aston Villa,87,Marco Bizot,34,/player.php?pid=51920
Martin Dúbravka,Tottenham Hotspur,87,Martin Dúbravka,37,/player.php?pid=38048
Mike Penders,Chelsea,87,Mike Penders,20,/player.php?pid=124280
Odysseas Vlachodimos,Newcastle United,87,,32,/player.php?pid=58288
Radu Drăgușin,Tottenham Hotspur,87,Radu Drăgușin,24,/player.php?pid=102708
Ryan Yates,Nottingham Forest,87,Nottingham Forest,28,/player.php?pid=89352
